arm,snr_db,seed,raw_ber,s3_ok,recovered,interleaver_ok,printable,text_ok,seconds,rotation,span
random,16,1,0.0,1,1,1,0.0,0,26.9,0,14
random,16,2,0.0,1,1,1,0.0,0,24.2,0,14
random,16,3,0.0,1,1,1,0.0,0,24.8,0,14
random,14,1,0.0,1,1,1,0.0,0,24.6,0,14
random,14,2,0.0,1,1,1,0.0,0,24.6,0,14
random,14,3,0.0,1,1,1,0.0,0,24.8,0,14
random,12,1,0.0,1,1,1,0.0,0,24.7,0,14
random,12,2,0.0,1,1,1,0.0,0,24.4,0,14
random,12,3,0.0,1,1,1,0.0,0,23.9,0,14
random,10,1,0.0,1,1,1,0.0,0,23.9,0,14
random,10,2,0.0,1,1,1,0.0,0,24.7,0,14
random,10,3,0.0,1,1,1,0.0,0,24.7,0,14
random,8,1,0.0,1,1,1,0.0,0,25.1,0,14
random,8,2,0.0,1,1,1,0.0,0,26.9,0,14
random,8,3,0.0,1,1,1,0.0,0,27.1,0,14
random,6,1,1.666666666666483e-05,1,0,0,0.0,0,49.6,-,0
random,6,2,8.333333333332416e-05,1,0,0,0.0,0,47.1,-,0
random,6,3,6.666666666665932e-05,1,0,0,0.0,0,45.6,-,0
text,16,1,0.0,1,1,1,0.9993,1,24.7,0,14
text,16,2,0.0,1,1,1,0.9993,1,23.4,0,14
text,16,3,0.0,1,1,1,0.9993,1,21.8,0,14
text,14,1,0.0,1,1,1,1.0,1,22.3,0,14
text,14,2,0.0,1,1,1,1.0,1,22.3,0,14
text,14,3,0.0,1,1,1,0.9993,1,22.6,0,14
text,12,1,0.0,1,1,1,0.9993,1,22.2,0,14
text,12,2,0.0,1,1,1,1.0,1,22.3,0,14
text,12,3,0.0,1,1,1,0.9993,1,22.6,0,14
text,10,1,0.0,1,1,1,0.9993,1,22.4,0,14
text,10,2,0.0,1,1,1,1.0,1,22.4,0,14
text,10,3,0.0,1,1,1,0.9993,1,22.7,0,14
text,8,1,0.0,1,1,1,1.0,1,27.1,0,14
text,8,2,0.0,1,1,1,1.0,1,23.3,0,14
text,8,3,0.0,1,1,1,0.9993,1,27.9,0,14
text,6,1,6.666666666665932e-05,1,0,0,0.0,0,15.2,-,0
text,6,2,3.333333333332966e-05,1,0,0,0.0,0,15.0,-,0
text,6,3,4.999999999999449e-05,1,0,0,0.0,0,16.8,-,0
